index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
32,31,C,2008_myanmar_military,0.5961775859985807,0.0,0.55,0.9879518072289156,0.0,0.0,0.24052717161597878,0.35,0.3687493756699049,0.5357,0.023578947368421053,0.6400000000000002,0.7400000000000002,1,0.9750153696941412,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
33,32,C,2008_myanmar_military,0.5961775859985808,0.0,0.55,0.9879518072289156,0.030000000000000002,0.0,0.24201602230624264,0.35,0.3530036296221319,0.529,0.023789473684210527,0.6400000000000002,0.7400000000000002,1,0.9800153696941412,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
34,33,C,2008_myanmar_military,0.596177585998581,0.0,0.55,0.9879518072289156,0.010000000000000002,0.0,0.24297094000622982,0.35,0.36070104828800387,0.5255,0.023789473684210527,0.6400000000000002,0.7400000000000002,2,1.0,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
35,34,C,2008_myanmar_military,0.5961775859985812,0.0,0.55,0.9879518072289156,0.0,0.0,0.24302152040389785,0.35,0.37110436213909315,0.5259,0.023894736842105264,0.6400000000000002,0.7400000000000002,3,0.9641580428399238,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
36,35,C,2008_myanmar_military,0.5961775859985811,0.0,0.55,0.9879518072289156,0.0,0.0,0.24310026203144844,0.35,0.3767527851956417,0.5224,0.024,0.6400000000000002,0.7400000000000002,3,0.9557103734748265,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
37,36,C,2008_myanmar_military,0.5961775859985808,0.0,0.55,1.0,0.0,0.0,0.24320721886686014,0.35,0.3681143890306965,0.5224,0.024,0.6400000000000002,0.7400000000000002,0,0.9472627041097291,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
38,37,C,2008_myanmar_military,0.5961775859985808,0.0,0.55,1.0,0.0,0.0,0.24327070252207728,0.35,0.36925621007976683,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,0,0.9522627041097291,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
39,38,C,2008_myanmar_military,0.596177585998581,0.0,0.55,1.0,0.0,0.0,0.24333832640182207,0.35,0.3663653996858359,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,1,0.9403129538622905,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
40,39,C,2008_myanmar_military,0.5961775859985811,0.0,0.55,1.0,0.0,0.0,0.2434099145169226,0.35,0.36911154497692555,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,1,0.9283632036148519,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
41,40,C,2008_myanmar_military,0.5961775859985811,0.0,0.55,1.0,0.0,0.0,0.24348524759660028,0.35,0.3784418331434404,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,0,0.9164134533674133,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
42,41,C,2008_myanmar_military,0.5961775859985808,0.0,0.55,1.0,0.0,0.0,0.24356405804701203,0.35,0.3774848416014419,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,2,0.9537462488980466,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
43,42,C,2008_myanmar_military,0.5961775859985811,0.0,0.55,1.0,0.0,0.0,0.24364602628672613,0.35,0.3791440246943858,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,3,0.9718890660269625,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
44,43,C,2008_myanmar_military,0.5961775859985808,0.0,0.55,1.0,0.0,0.0,0.24373077366731793,0.35,0.37037220557483647,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,2,0.9808100215982826,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
45,44,C,2008_myanmar_military,0.5961775859985808,0.0,0.55,1.0,0.0,0.0,0.24381786038723,0.35,0.37656919946851775,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,0,1.0,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
46,45,C,2008_myanmar_military,0.5961775859985807,0.0,0.55,1.0,0.0,0.0,0.24390678229485327,0.35,0.3662338910383682,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,0,1.0,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
47,46,C,2008_myanmar_military,0.596177585998581,0.0,0.55,1.0,0.0,0.0,0.24399696787226807,0.35,0.3702248400565567,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,0,1.0,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
48,47,C,2008_myanmar_military,0.5961775859985811,0.0,0.55,1.0,0.0,0.0,0.24408777973107432,0.35,0.373150971322595,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,2,0.9709594966090903,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
49,48,C,2008_myanmar_military,0.596177585998581,0.0,0.55,1.0,0.0,0.0,0.24417850596906612,0.35,0.3755648305785972,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,2,0.9469189932181806,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
50,49,C,2008_myanmar_military,0.5961775859985811,0.0,0.55,1.0,0.0,0.0,0.24426837462615625,0.35,0.3722272442292077,0.5188,0.024105263157894737,0.6400000000000002,0.7400000000000002,2,0.8914910531197369,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
